,text,dominant_topics,dominant_topics_words
895,"A nice, tasty and well-priced place",[4],"parking, de, casa, dishes, good"
896,"The beer is not the best, warm, with a diluted taste, plus they force you to pay a high tip, and on top of that they charge you VAT separately, meaning the prices on the menu are not real. For 4 beers, 1 milkshake and some nachos we paid almost 3000","[0, 7]","good, beautiful, place, eat, service, food, service, bad, tacos, order"
897,"All the food is delicious, it's luxurious, quite expensive but worth every peso.","[8, 10, 11]","place, wonderful, visit, castle, great, pretty, negative, cdmx, delivery, positive, excellent, service, place, attention, station"
898,"The walk to the castle is about 15 minutes. There is elevator access for disabled guests. The tour of the castle is very informative about the history of Mexico since the arrival of the Spanish. The views of the city are beautiful. I don't recommend it for young children, as there are many steps to walk and climb up and down.","[0, 14]","good, beautiful, place, eat, service, service, fast, delicious, food, good"
899,"The entire castle and its gardens are beautiful, a magical place that has a lot of history.","[3, 14]","beautiful, cathedral, history, incredible, many, service, fast, delicious, food, good"
900,Excellent museum that showcases the richness and evolution of Mexico. Interesting exhibition and unique perspective on national history.,"[1, 14]","love, recommended, highly, expensive, fine, service, fast, delicious, food, good"
901,Very informative. It was great tutorial in Mexican history. My favorite part were the murals bay Siqueiros and O'Gorman. Bring your student or teacher id form any country and they will be honored with free entry.,"[6, 13]","nice, great, amazing, place, food, city, mexico, center, beautiful, historic"
902,"If you like Mexican history, you must visit this magical museum, a must! â¨ï¸

This place offers a lot of history and beautiful views. Admission is free.

I suggest you wear comfortable shoes because you're in for a looooong day of walking, surrounded by forest and cute squirrels.

The tour requires at least 3 hours, so take that into account.

I went on a Sunday and it was really crowded. If you have the chance to go to this place, I recommend visiting during the week.

This museum will make you love Mexico ð²ð½â¤ï¸","[7, 14]","food, service, bad, tacos, order, service, fast, delicious, food, good"
903,"We entered at 4, they close at 5, but...from 4:15, they start closing several rooms, and you can't go in to see many things, the guards are very arrogant.",[7],"food, service, bad, tacos, order"
904,"Excellent place, beautiful","[1, 3, 4]","love, recommended, highly, expensive, fine, beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good"
905,"Full of stories and things from Mexico's past, something beautiful and magical.","[3, 14]","beautiful, cathedral, history, incredible, many, service, fast, delicious, food, good"
906,"Proposed to my fiancÃ© here, and it was the perfect setting. Such beautiful terraces and gardens overlooking the city.","[3, 6]","beautiful, cathedral, history, incredible, many, nice, great, amazing, place, food"
907,The station in the heart of the city.,"[0, 14]","good, beautiful, place, eat, service, service, fast, delicious, food, good"
908,Basically the center of the universe in this city. There's always something going on there. A unique and huge square,[14],"service, fast, delicious, food, good"
909,"In general the station is clean and kept under surveillance. They advise you to put your things in front and take care of them.

During rush hour you have to be very attentive because the cars are so full that only a few people get off.
When I was in line, I saw a woman with her daughter and she was blind and had a hard time getting into the car until the people who were waiting helped her. I think there should be a person who can be approached for help where the tickets are purchased. I hope they can do something.","[6, 7]","nice, great, amazing, place, food, food, service, bad, tacos, order"
910,"Very busy place, very safe, it is recommended to visit it for its history","[4, 5, 10]","parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite, pretty, negative, cdmx, delivery, positive"
911,"I think we all know that it is a place to live with family, parents, siblings, children, friends or even alone.",[4],"parking, de, casa, dishes, good"
912,"A magical place, where you can visualize what Mexico was like before and after.",[],
913,It's great,"[10, 13]","pretty, negative, cdmx, delivery, positive, city, mexico, center, beautiful, historic"
914,"Place with great historical value, if you are interested in the history of CDMX you have to go and see this place.","[4, 7, 13, 14]","parking, de, casa, dishes, good, food, service, bad, tacos, order, city, mexico, center, beautiful, historic, service, fast, delicious, food, good"
915,"Very clean, that's my first impression, few people, very quiet to spend an afternoon",[5],"closed, interesting, noisy, horrible, favorite"
916,"A place recognized by many people, with a wide variety of products for sale, restaurants, bars, among many other attractions for nationals and tourists, a very family-friendly atmosphere and variable prices",[],
917,I love it,[10],"pretty, negative, cdmx, delivery, positive"
918,Very good treatment by the police officers and a clean place.ð±,"[2, 4, 5]","family, experience, place, best, nice, parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite"
919,"A meeting place with our ancestors and our reality, a magical atmosphere in Mexico City.","[4, 14]","parking, de, casa, dishes, good, service, fast, delicious, food, good"
920,"New image, very good atmosphere","[2, 5]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite"
921,Very good,"[2, 5]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite"
922,"Stories are allowed in, you can walk, the walk is fine",[],
923,"Beautiful, worth going to see.",[3],"beautiful, cathedral, history, incredible, many"
924,They do not charge to enter masses every hour,[7],"food, service, bad, tacos, order"
925,"I loved visiting my homeland, Mexico City again... the Cathedral is spectacular ðð»ð",[14],"service, fast, delicious, food, good"
926,"My 4th time in Mexico City and i always recommend staying in the historical area for events, tours, food, amd just to walk around. Public transportation is nearby and the whole area is a point of interest",[14],"service, fast, delicious, food, good"
927,Very nice place,"[4, 5]","parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite"
928,always beautiful,[3],"beautiful, cathedral, history, incredible, many"
929,One of the largest cathedrals I've ever seen. They offer guided tours.,[],
930,We had a great time thank you for everything food was great and drinks were excellent,"[1, 6, 8, 12, 13]","love, recommended, highly, expensive, fine, nice, great, amazing, place, food, place, wonderful, visit, castle, great, hotel, location, view, staff, great, city, mexico, center, beautiful, historic"
931,I am so happy we chose to stay at Zocalo Central Hotel for our vacation in Mexico City. It has the prefect location. The hotel is very beautiful and the Staff was exteremly accomdating. You will not go wrong by chosing this hotel! A highlight of of stay was a gentalman named Antonio.  Was very wonderful.  He helped us with out bags and provide a lot of useful information and advice.,"[6, 14]","nice, great, amazing, place, food, service, fast, delicious, food, good"
932,Incredible,[],
933,"Positive: Location Negative: """"",[],
934,Good service.,"[2, 9]","family, experience, place, best, nice, toos, house, super, serve, quickly"
935,Abusive on the bill and still demand tip,[],
936,Came for a wedding and all of the staff were very welcoming and professional! Special shoutout to Eduardo for his hospitality and cheerfulness! The hotel was able to hold our luggage as we transferred from one reservation to the next at Zocalo. Staying at this hotel made my entire CDMX trip go very smoothly.,[6],"nice, great, amazing, place, food"
937,"Great experience. Friendly service , fantastic cafe, and main restaurant. Super clean. Fabolous location.","[9, 13]","toos, house, super, serve, quickly, city, mexico, center, beautiful, historic"
938,"It was a cheap room, so it wasn't very spacious, but the view from breakfast was amazing and I was very satisfied. I will definitely come here again next time.
There are free drinks 24 hours a day and water on the floor, so it's helpful not having to go buy water yourself.
When I travel abroad, I always have to buy water, which is really annoying.","[6, 10]","nice, great, amazing, place, food, pretty, negative, cdmx, delivery, positive"
939,Excellence quality and cleanliness recommend it only,[10],"pretty, negative, cdmx, delivery, positive"
940,Deceptive prices,[],
941,"Very good place, very good, expensive food, I loved it without counting the price, recommended if you have time, hunger and money.","[2, 5]","family, experience, place, best, nice, closed, interesting, noisy, horrible, favorite"
942,"The food is delicious, but the prices are high. You should definitely try it out and go every once in a while. The service is very good. The view is incredible.",[0],"good, beautiful, place, eat, service"
943,Too expensive for a dish,[],
944,"Such a beautiful view and experience, cocktails are so good","[2, 3]","family, experience, place, best, nice, beautiful, cathedral, history, incredible, many"
945,Food was good. View is spectacular at night. Espresso after the meal was a little disappointing. Service was good but a little disjointed.,"[2, 6]","family, experience, place, best, nice, nice, great, amazing, place, food"
946,"For dinner there was no coffee with a dessert, just what was on the menu.",[6],"nice, great, amazing, place, food"
947,"The place is spectacular, but the menu is far from affordable and expensive. The view of the cathedral and the Zocalo is unparalleled. The service and waiters are very friendly.",[0],"good, beautiful, place, eat, service"
948,I was deeply impressed. You must visit for dinner â Iâm sure youâll be more than satisfied with the beautiful view and the thoughtfully prepared food. The staff is especially kind. Iâll never forget the kindness of Ms. Bruno Ileana.,[],
949,Great food and a fantastic view of the City! Very cool place to grab a bite and enjoy a drink.,"[13, 14]","city, mexico, center, beautiful, historic, service, fast, delicious, food, good"
950,The view is beautiful the best restaurant,"[0, 3]","good, beautiful, place, eat, service, beautiful, cathedral, history, incredible, many"
951,"Excellent place, delicious food","[1, 4, 8, 11]","love, recommended, highly, expensive, fine, parking, de, casa, dishes, good, place, wonderful, visit, castle, great, excellent, service, place, attention, station"
952,"Everything from the atmosphere, to the food, to the service is amazing at Zocalo. The owner, Sergio, makes everyone feel like family. Add this place to your list of must try's for good Mexican food here in Colorado Springs!",[8],"place, wonderful, visit, castle, great"
953,"The food is delicious but the service is atrocious. The last two times I've been in, I've been accidentally overcharged and ignored throughout the meal. Today, they gave one of us the wrong entree, forgot our appetizer entirely (even though we politely reminded two different people multiple times throughout the meal) and forgot to bring one of our sides. The waitress also did not speak a word to us the entire time, even when we twice asked about the appetizer we had previously ordered. Each time she came to our table she had a completely blank face and said nothing.",[6],"nice, great, amazing, place, food"
954,"Go eat here! The tacos are fantastic and Sergio is friendly and welcoming. I got vegetarian tacos, and my husband got pork and chicken. Everything was so tasty.","[6, 12]","nice, great, amazing, place, food, hotel, location, view, staff, great"
955,"If I could rate this place less than one star, I would. This was my first and last visit. The food was horrible, and the service was bad. Three of the plates were served with the meat undercooked, as you can see in the picture. The waitress told us that the meat should have a little bit of pink. You tell me if that is considered a little bit of pink.",[6],"nice, great, amazing, place, food"
956,"Great place and good atmosphere. If you want trendy Mexican food, this is the place.","[2, 4, 8, 13]","family, experience, place, best, nice, parking, de, casa, dishes, good, place, wonderful, visit, castle, great, city, mexico, center, beautiful, historic"
957,"Zocalo was recommended, and it did not disappoint. Their menu is creative and has some great twists on Mexican cuisine.

Started with the Chips & Salsa. Fresh crispy chips fresh out the fryer and very tasty salsa with a good kick. I tried several of their tacos and they were all great. Tacos I tried: Panela Mushroom, Steak Chimichurri, El Macho, Quesabirria, and Eaquites. To wet my taste buds, I had the Ancho Old Fashion. And it was delicious.

Abigail, our server, was great. Friendly and very attentive. Constantly checked in on us. Followed her suggestions, and they were great.

I recommend Zocalo to everyone.","[6, 13]","nice, great, amazing, place, food, city, mexico, center, beautiful, historic"
958,Cute spot. Good variety of options. The salsa was super tasty. One less star since the carnitas taco was too rich and fatty for my liking.,[6],"nice, great, amazing, place, food"
959,"Update 5 months later : Completely unprofessional and inappropriate sanitary standards.

Staff is serving while munching on their snacks. It's super unsanitary. And who wants a server talking to you while they're still chewing their food? Or putting the lime in their Corona, when they haven't washed their hands and just munched on chips and salsa.

The staff seemed largely distracted by consuming their own snacks/ meals any chance they got. Even my date questioned from the moment we walked in, ""why is the staff eating/ chewing"" he thought they were having a staff party or get together.

The chicken quesadilla we had (and had previously on a separate visit) was not as good as the previous time and served with no salsas. The Chili Rellanos were mediocre.

The entire visit was such a turn off due to the staff eating and not washing their hands.

We did speak to the manager and I expressed my concerns and even emailed the owners. This is unacceptable.

I don't recommend.

Initial review: Spunky, Delicious. NOISY.

- review based off of 2 visits 2 days apart.

a fun spot with tasty food. Only complaints the noise, and inconsistency in hours posted on the doors.

Really not cool guys- for the customers or your employees. If you close at 10- UPDATE THE DOORS.

SO HOURS ARE NOT TRUSTWORTHY!!!

You basically have to yell at the person next to you because of the music being so loud and all the other people yelling to talk.

Other than that.  Great food except for the guacamole appetizer which was bland, granted we ordered the mango and tajin on the side.

They accommodated our request for a chicken quesadilla *ZOCALO*- add it to the menu, it was one of the best chicken quesadillas! Thank you for accommodating our request.

Drinks, especially the margaritas are STRONG.

The swings look like fun and since I will return to enjoy a seat on the swings, I suppose Iâd recommend them.

The service each time was impeccable as well.","[0, 6, 7]","good, beautiful, place, eat, service, nice, great, amazing, place, food, food, service, bad, tacos, order"
960,Iâve been a few times now and the food and service has been exceptional each time! The owner has come over to personally ask how things were each time and heâs extremely friendly! Itâs my new favorite taco spot in COS!!!,[],
961,Delicious food in a fun atmosphere!,"[8, 11]","place, wonderful, visit, castle, great, excellent, service, place, attention, station"
962,"I finally met the cook called Sergio and what a pleasure it was! He's a master at his craft, yet so humble and down to earth. Abigail took care of service today and at least once before and she's so attentive and professional. I don't remember who all I've had for servers before except for Angelo, an excellent bartender, but  every single time I come in, I'm absolutely impressed by every detail of my experience. My first visit was no more than a couple of months ago and I've visited probably 10 times since. I waited until today to write a review because I was looking for some reason to temper all this praise with at least one thing I found them lacking in, because nothing is perfect.... But Zocalo is reliably perfect. So shout out to manager Ashley, because though we haven't met, you're obviously doing things right.

I've tried several of the street tacos here and I love them all, but el pastor is #1. I've searched high and low for pastor in the Springs only to be disappointed. Zocalo is so far above the rest, it's ridiculous.

By the way, their happy hour deals are crazy, I feel like I'm stealing from them. The atmosphere is incredible, the decor is beautiful, and I'm a patron for life!","[6, 7]","nice, great, amazing, place, food, food, service, bad, tacos, order"
963,"Tacos are good. A little expensive, especially if you get drinks.","[2, 7]","family, experience, place, best, nice, food, service, bad, tacos, order"
964,Lots of great vegetarian options.,[13],"city, mexico, center, beautiful, historic"
965,Great margaritas! Great service! Quesabirria is the best!! Highly highly recommend! Sergio owns the place and cares about customers. Go there today!!,[13],"city, mexico, center, beautiful, historic"
966,Flavorful tacos + cool decor,[],
967,"Loved it!  Ate here for lunch on a Tuesday afternoon. Super fresh flavors and quick service.  Quality food & our server was kind, helpful and informative.",[6],"nice, great, amazing, place, food"
968,"Solid preparation and excellent food, not something that you frequently see done at this caliber in Colorado Springs. The only negative I have would be how noisy the restaurant was, and it did not appear to have any sound deadening. However, regardless of that, the drinks were great and by taking advantage of the drink specials, not terribly expensive. This is probably some of the more authentic Mexican food available in the area, I would highly recommend spending your money here.",[6],"nice, great, amazing, place, food"
969,Strong fans and air conditioning made the food cold,[8],"place, wonderful, visit, castle, great"
970,Carnivores beware!  This place is so good and the vegetarian options are the best youâll ever have that you may skip the standard steak or carnitas. Fabulous food all around though.,[0],"good, beautiful, place, eat, service"
971,"The food and atmosphere were pretty good. Unfortunately after we were seated, it took about 25 minutes to get our order taken. It also took a really long time to get the check and other customer service issues. Normally I wouldnât be upset about this but there were only 2 other tables with customers there at the time. Customer service times really need improvement.",[6],"nice, great, amazing, place, food"
972,It's better than average and the location is great. The service was excellent. It's expensive. That's the only downside.,"[0, 1, 10, 13]","good, beautiful, place, eat, service, love, recommended, highly, expensive, fine, pretty, negative, cdmx, delivery, positive, city, mexico, center, beautiful, historic"
973,Very cool Mexican restaurant.  Hands down serves the best street tacos outside of Mexico City.  Wait staff are amazing.  They even have swings at the bar.,[14],"service, fast, delicious, food, good"
974,Food was good but thatâs about it. The kitchen staff who brought out our food was more attentive than our waitress. They are open until 11 pm. Not sure why they advertise being open that late. We arrived at 9:15 and staff were quick to tell us we had until 9:30 to order food and 9:45 to order drinks. Their blender is broken which was unfortunate since I wanted a frozen margarita.,"[6, 8]","nice, great, amazing, place, food, place, wonderful, visit, castle, great"
975,Great food and service ! Love the swings !,"[8, 9, 13]","place, wonderful, visit, castle, great, toos, house, super, serve, quickly, city, mexico, center, beautiful, historic"
976,"I just went there for the 1st time for a Zumba Dance Party, and I definitely will be going back soon. The food was excellent. All the food is homemade from scratch, and I'm a big fan. When you go, be sure to get chips and salsa.
The only downside is that everything is a la carte pricing.","[0, 6, 7, 8, 12]","good, beautiful, place, eat, service, nice, great, amazing, place, food, food, service, bad, tacos, order, place, wonderful, visit, castle, great, hotel, location, view, staff, great"
977,"My husband and I drove 20 minutes for a nice Sunday dinner. We arrived at the restaurant at 6:55 PM, only to be told by the hostess, who was already pulling the sign in, that the kitchen was closing at 7:10 PM. We didnât want an unpleasant and rushed service so we left. The restaurant was supposed to be open until 8 PM on Sundays. This experience ruined our evening.",[6],"nice, great, amazing, place, food"
978,Great place to enjoy good food and good company. Kids and adults loved it,"[2, 4, 8, 13]","family, experience, place, best, nice, parking, de, casa, dishes, good, place, wonderful, visit, castle, great, city, mexico, center, beautiful, historic"
979,Great tacos and cool environment. Loved the fried tacos dorados. A lot of cool IG opportunities around the restaurant.,[13],"city, mexico, center, beautiful, historic"
980,All of our food and drinks were amazing ! Will definitely be going back!,"[6, 8]","nice, great, amazing, place, food, place, wonderful, visit, castle, great"
981,"Looks like AI wrote a business plan for a ""trendy"" mexican restaurant and the owner followed it to the  T. The table water was served warm in a bottle with food chunks in it. The swing chairs are pretty much impractical and poorly made (unstable due to one chain on each side). Barely give you any chips with your guacamole and even though we had a party of five they didn't even give small plates to divide up the guacamole or chips.

The food was meh. Nothing I will ever remember either good or bad.

The service was similar.  Not bad. Not good. Zero personality in the staff. Almost like they were mildly inconvenienced by having to hold a job and make money to support themselves.

Decor and ambiance are stale and a failed attempt at being cool or a vibe but it looked like they tried.","[6, 7]","nice, great, amazing, place, food, food, service, bad, tacos, order"
982,Now this place is adorable. Super cute and updated. Food is more of the upscale pricing but itâs delicious. And the server was prompt but not pushy. I will state the venue is loud and the sound travels. So for large groups it may be hard to hear.,"[0, 6]","good, beautiful, place, eat, service, nice, great, amazing, place, food"
983,Tasty but over priced. $ for greasy chips and bland salsa. Ok student server. Paid street parking.,[],
984,"Abigail was our waitress, first off the seats are the most comfortable seats Iâve ever sat in in a restaurant. Our waitress was very sweet and funny. When we got the food, it was amazing, if you are someone who enjoys real Mexican cuisine. I recommend taking your family or your significant other on a date here.ð©·",[6],"nice, great, amazing, place, food"
985,Great location. Hard to get to but worth it. Rooms are small but the service is excellent.,"[1, 10, 13]","love, recommended, highly, expensive, fine, pretty, negative, cdmx, delivery, positive, city, mexico, center, beautiful, historic"
986,The best hotel,[0],"good, beautiful, place, eat, service"
987,"Positive: From the warm welcome to the hotel , the views of the roof top ,the beauty of the hotel , the delicious food and unbelievable location. Made everyday an spectacular day , the close access to museums , historic places , limelight, dinning , shopping.? Negative: No",[0],"good, beautiful, place, eat, service"
988,"From the warm welcome to the hotel , the views of the roof top ,the beauty of the hotel , the delicious food and unbelievable location. Made everyday a spectacular day , the close access to museums , historic places , limelight, dinning , shopping.A luxury experience in a budget . I meet a couple that go once a year for the past 10 years . Iâm so in love with it that I will do the same . Iâm originally from Mexico and I love it . I took my mum for her birthday , so we can walk and enjoy our culture . Is also very safe for all the travelers around the world .","[0, 6]","good, beautiful, place, eat, service, nice, great, amazing, place, food"
989,"Positive: Everything! Negative: """"",[12],"hotel, location, view, staff, great"
990,"Positive: Location, and most staff members, especially the first two nights I reserved online. Negative: Trying to reserve another night in person, versus online, the price in person was forty-five dollars more, when pointed to the front desk she said ""oh no that price is wrong"" I walked away, got a better deal online, but my door card was blocked at 8am.",[6],"nice, great, amazing, place, food"
991,Very pleasant experience,[5],"closed, interesting, noisy, horrible, favorite"
992,"Excellent location, very comfortable and beautiful rooms, unbeatable service, delicious food, I will definitely book it again for future visits.","[1, 3, 11]","love, recommended, highly, expensive, fine, beautiful, cathedral, history, incredible, many, excellent, service, place, attention, station"
993,Couldnât ask for a better stay in the Historic Center. Staff and room were amazing. Loved having the 24hr included cafe options too.,[],
994,"An expensive but beautiful place, excellent if you have the possibility to stay there","[1, 3, 4, 7]","love, recommended, highly, expensive, fine, beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good, food, service, bad, tacos, order"
995,Can I do 4:20 on the Liverpool side?,[],
996,"Every time I go to the Plancha del ZÃ³calo, I really enjoy it. I love my CDMX. ðâ¤ï¸ðð",[10],"pretty, negative, cdmx, delivery, positive"
997,"Unique, impressive, captivating, for the historical legacy, and legends",[],
998,"Those of this administration were very traumatized and self-conscious, andenantes was simply called ZÃ³calo","[5, 6]","closed, interesting, noisy, horrible, favorite, nice, great, amazing, place, food"
999,Nice place to walk...,[4],"parking, de, casa, dishes, good"
1000,Emblematic station of the metro public transport network,[],
1001,magical town,[],
1002,"The National Palace, with its incredible architecture.
Best of all, you can see these historic moments in Mexico for free.",[14],"service, fast, delicious, food, good"
1003,Beautiful place to spend an evening in mexico with family. Different foods we can try and very good native people who will always try to help us incase needed. The last you can shop for a week here,[7],"food, service, bad, tacos, order"
1004,"It's still lit for Christmas, although it doesn't stay on all night, I think they turn it off at 9:00 p.m.",[10],"pretty, negative, cdmx, delivery, positive"
1005,"Wonderful without a doubt,",[],
1006,Very nice but still closed in some sections,[5],"closed, interesting, noisy, horrible, favorite"
1007,Beautiful and huge,[3],"beautiful, cathedral, history, incredible, many"
1008,for those who like this style of church it's a full plate,[],
1009,Good place,"[2, 4]","family, experience, place, best, nice, parking, de, casa, dishes, good"
1010,Some wonderful frescoes,[],
1011,"I loved it!!!
They don't charge admission. And even though we went on a Sunday, we had no trouble getting in. There was also a mass ðð¼",[6],"nice, great, amazing, place, food"
1012,Take a look inside while youâre downtown!,[],
1013,"Beautiful inside, its architecture is impressive",[3],"beautiful, cathedral, history, incredible, many"
1014,"The Metropolitan Cathedral in Mexico City is a must-see historical gem for any traveler. Its majestic Baroque faÃ§ade, topped by twin towers, announces an interior of sublime beauty. Upon entering, visitors are amazed by the grandeur of the nave, the gilded altarpieces, and the side chapels decorated with sacred art from the 16th to 18th centuries. History also resonates here: it has been the religious heart of the city since its founding. Its location in the ZÃ³calo, next to emblematic buildings, facilitates a complete cultural tour, combining architecture, faith, and heritage. Visiting it offers an authentic and profound experience of Mexico City.
A place of enormous energy, it overwhelms you as soon as you enter. A truly beautiful and intense experience.",[14],"service, fast, delicious, food, good"
1015,"Excellent experience to learn more about the history of Mexico, great organization and attention from the staff working there from the entrance and throughout the tour. Highly recommended if you are interested in enriching your cultural heritage.","[13, 14]","city, mexico, center, beautiful, historic, service, fast, delicious, food, good"
1016,"Great place, full of history","[4, 13, 14]","parking, de, casa, dishes, good, city, mexico, center, beautiful, historic, service, fast, delicious, food, good"
1017,Excellent family outing,[1],"love, recommended, highly, expensive, fine"
1018,"Beautiful place, worth admiring.","[3, 4]","beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good"
1019,Closed when it is supposedly open,[10],"pretty, negative, cdmx, delivery, positive"
1020,"Very busy, but worth a visit",[5],"closed, interesting, noisy, horrible, favorite"
1021,"I love it! Every time I go to Mexico City, I come back... impressive architecture full of history.","[10, 14]","pretty, negative, cdmx, delivery, positive, service, fast, delicious, food, good"
1022,A very beautiful place to visit in Mexico City that you can't miss.,"[3, 4, 5, 7, 14]","beautiful, cathedral, history, incredible, many, parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite, food, service, bad, tacos, order, service, fast, delicious, food, good"
1023,Worth visiting if you have some time and are in this part of CDMX.  The fee to enter is about $5 or so and thereâs plenty of street vendors with souvenirs and food.,"[7, 14]","food, service, bad, tacos, order, service, fast, delicious, food, good"
1024,"Visiting Chapultepec Castle was a truly enjoyable experience. The entrance process was smooth and well-organized, making it easy to get in without long waits or confusion. Once inside, the beauty of the castle really stood out â from the elegant staircases to the detailed paintings and historic accessories that decorate the rooms.

What made the visit even more pleasant was that it wasnât overly crowded, allowing for a relaxed and unhurried exploration of the space. One of the highlights was stepping out onto the terraces â the panoramic views of Mexico City from up there are absolutely breathtaking and not to be missed.

Overall, Chapultepec Castle offers a great mix of history, art, and scenic views. A must-visit for anyone spending time in Mexico City.","[6, 14]","nice, great, amazing, place, food, service, fast, delicious, food, good"
1025,"I love this place. It's beautiful, perfect for taking some great selfies. It's also the best history museum if you're interested in learning more about Mexico's history. I think it's free for Mexicans and foreign residents on Sundays. I recommend wearing sneakers or comfortable shoes and getting there early because the place is quite large. Afterward, you can walk through Chapultepec Parkâit's a really great experience.","[10, 13]","pretty, negative, cdmx, delivery, positive, city, mexico, center, beautiful, historic"
1026,"BalcÃ³n del ZÃ³calo â Mexico City

A beautiful place with an unmissable and privileged view of the ZÃ³calo. The terrace is simply spectacular, perfect for enjoying the city from above.

Although we only went for a couple of drinks, the service was first-class, especially thanks to Andrea, who provided warm, attentive, and very professional service.

We tried the Pornstar Martini, which was delicious, and as an appetizer, we ordered the Cochinita Pibil Gyozas, a surprising combination full of flavor. Perfect for a relaxing afternoon with good cocktails and an unforgettable view.

Without a doubt, a place we want to return to to try more of the menu and continue enjoying the atmosphere.

â¸»

BalcÃ³n del ZÃ³calo â Mexico City

A beautiful place with an unmissable and privileged view of the ZÃ³calo. The terrace is absolutely stunningâperfect for enjoying the city from above.

Even though we only visited for a couple of drinks, the service was top-notch, especially thanks to Andrea, who was warm, attentive, and highly professional.

We had the Pornstar Martini, which was delicious, and for a small bite, we ordered the Cochinita Pibil Gyozasâa surprising and flavorful combination. Perfect for a relaxed afternoon with great cocktails and an unforgettable view.

Definitely a place we'd love to return to and explore more of the menu.","[6, 14]","nice, great, amazing, place, food, service, fast, delicious, food, good"
1027,"Now that I went to see Lady Gaga, we had breakfast at this placeâdefinitely one of my favorites. The service is amazing. Please keep it up! ðð«°ð½â¨",[6],"nice, great, amazing, place, food"
1028,"With the best company ever, friends who are my family",[],
1029,"Going up to the ZÃ³calo Balcony is, from the outset, a promise: the city at your feet, the sunset gilding the Cathedral, and a chef's menu that, at least on paper, promises a sensory experience worthy of the highest standards.

And in the kitchen, it delivered.
The Lentil Soup was a warm, profound start, with flavors that seemed to come from a kitchen steeped in history. The beef fillet sope, small but powerful, struck a perfect balance between traditional and refined. The Totoaba Loinâsimply sublimeâcooked to the point of perfection. And the chocolate cheesecake, elegant without being pretentious, rounded out with a wine pairing that complemented it without stealing the show. It was, without exaggeration, a first-class execution. Cuisine that walks firmly down the runway of the memorable.

But then, the service.
There, the narrative changed. Long silences. Gazes searching for someone who hadn't come. Dishes that never arrived, but were still charged for. A service pace so rushed that you doubted whether you were dining or racing against the clock. And the final irony: after the last bite, we were asked to leave a review.

So here it is:
A cuisine with vision and technique, the kind you'd recommend without a second thought. But marred by service that seemed improvised, as if a museum painting had been hung with thumbtacks.

In a place where the cuisine is top-notch, the service can't afford to be grounded. Because when you dine at the BalcÃ³n del ZÃ³calo, you don't just expect a meal. You expect an experience. And this time, the scales were off.","[0, 6, 7]","good, beautiful, place, eat, service, nice, great, amazing, place, food, food, service, bad, tacos, order"
1030,"The place is excellent, the food is very tasty, although in some dishes it may not be as extensive. The view is spectacular.","[0, 10]","good, beautiful, place, eat, service, pretty, negative, cdmx, delivery, positive"
1031,Nice place!,"[4, 5]","parking, de, casa, dishes, good, closed, interesting, noisy, horrible, favorite"
1032,Very nice from Paris,[5],"closed, interesting, noisy, horrible, favorite"
1033,"Really incredible experience. The best views, service food and atmosphere!!","[8, 9]","place, wonderful, visit, castle, great, toos, house, super, serve, quickly"
1034,"Nice place to have dinner.
Prices can fluctuate, definitely not on the economical side.",[4],"parking, de, casa, dishes, good"
1035,Lack of attention from the staff,[],
1036,"It was a very special experience. The terrace allowed us to enjoy a very special, historic evening. Dinner was a blend of tastings, where the chef's boldness was the greatest surprise. The captain made the experience sublime. We also tried the other menus, and the quality was also impressive. The entire staff was five-star.",[6],"nice, great, amazing, place, food"
1037,A beautiful view but very $$$$,"[3, 5]","beautiful, cathedral, history, incredible, many, closed, interesting, noisy, horrible, favorite"
1038,It is very beautiful because of its imposing towers and interior,"[3, 5, 10, 14]","beautiful, cathedral, history, incredible, many, closed, interesting, noisy, horrible, favorite, pretty, negative, cdmx, delivery, positive, service, fast, delicious, food, good"
1039,Every corner of our beautiful Metropolitan Cathedral is a new discovery; participating in the homily there is a total joy.,"[3, 14]","beautiful, cathedral, history, incredible, many, service, fast, delicious, food, good"
1040,Looking forward to returning. It has so many interesting things to see and learn. Very beautiful.,[3],"beautiful, cathedral, history, incredible, many"
1041,Iconic place to see. Impressive.,[4],"parking, de, casa, dishes, good"
1042,"Breathtaking architecture and rich artistic detail

The Metropolitan Cathedral is a true architectural masterpiece, the scale, symmetry, and craftsmanship are awe-inspiring. From the moment you step inside, you're surrounded by intricate stonework, soaring ceilings, and an overwhelming sense of history and reverence.

The interior is equally stunning, with beautifully preserved artwork, ornate altars, and the magnificent organ pipes that dominate the space. It's not just a religious site  itâs a cultural and artistic treasure that tells centuries of stories through its details.

Whether you're there for quiet reflection, admiration of the craftsmanship, or historical interest, itâs easily a  must-see when visiting Mexico City.","[0, 14]","good, beautiful, place, eat, service, service, fast, delicious, food, good"
